species;code;ageing;seeds ;sown_date;petridish;D0;D7 ;D14;D21;D28;D35;D42;D49;D55;D62;empty
Dianthus langeanus;040822-01;0;25;10/01/2023;1;0;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;0;25;10/01/2023;1;0;22;3;0;0;0;0;0;0;0;0
Luzula caespitosa;040822-04;0;25;10/01/2023;1;0;0;0;11;5;1;2;1;2;0;0
Silene ciliata;040822-07;0;25;10/01/2023;1;0;0;6;14;2;1;1;0;1;0;0
Phyteuma hemisphaericum;040822-09;0;25;10/01/2023;1;0;0;17;7;1;0;0;0;0;0;0
Plantago holosteum;090822-02;0;25;10/01/2023;1;0;25;0;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;0;25;10/01/2023;1;0;0;1;6;7;2;3;1;0;0;4
Armeria cantabrica;190822-09;0;25;10/01/2023;1;0;9;13;2;0;0;0;0;0;0;1
Gypsophila repens;190822-10;0;25;10/01/2023;1;0;9;14;1;0;1;0;0;0;0;0
Jasione cavanillesii;230822-02;0;25;10/01/2023;1;0;23;0;0;0;0;0;0;0;0;2
Festuca glacialis;230822-04;0;25;10/01/2023;1;0;5;18;1;0;0;0;0;0;0;1
Androsace villosa;310822-01;0;25;10/01/2023;1;0;5;16;2;0;1;0;0;0;0;0
Dianthus langeanus;040822-01;2;25;26/01/2023;1;0;24;0;0;0;0;0;0;0;0;1
Armeria duriaei;040822-02;2;25;26/01/2023;1;0;19;5;0;0;0;0;0;0;0;1
Luzula caespitosa;040822-04;2;25;26/01/2023;1;0;0;0;2;7;4;4;3;3;0;0
Silene ciliata;040822-07;2;25;26/01/2023;1;0;0;6;9;5;1;0;1;0;0;1
Phyteuma hemisphaericum;040822-09;2;25;26/01/2023;1;0;0;11;10;0;0;0;0;0;0;0
Plantago holosteum;090822-02;2;25;26/01/2023;1;0;25;0;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;2;25;26/01/2023;1;0;0;1;9;6;4;0;0;0;0;2
Armeria cantabrica;190822-09;2;25;26/01/2023;1;0;9;10;0;0;0;0;0;0;0;1
Gypsophila repens;190822-10;2;25;26/01/2023;1;0;6;18;1;0;0;0;0;0;0;0
Jasione cavanillesii;230822-02;2;25;26/01/2023;1;0;24;0;0;0;0;0;0;0;0;1
Festuca glacialis;230822-04;2;25;26/01/2023;1;0;3;20;0;0;0;0;0;0;0;2
Androsace villosa;310822-01;2;25;26/01/2023;1;0;12;12;0;0;0;0;0;0;0;0
Dianthus langeanus;040822-01;10;25;03/02/2023;1;0;25;0;0;0;0;0;0;0;0;0
Dianthus langeanus;040822-01;10;25;03/02/2023;2;0;25;0;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;10;25;03/02/2023;1;0;6;19;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;10;25;03/02/2023;2;0;8;17;0;0;0;0;0;0;0;0
Luzula caespitosa;040822-04;10;25;03/02/2023;1;0;0;0;2;6;11;3;2;0;0;0
Luzula caespitosa;040822-04;10;25;03/02/2023;2;0;0;0;3;9;6;2;2;3;0;0
Silene ciliata;040822-07;10;25;03/02/2023;1;0;0;2;4;6;4;1;1;1;0;0
Silene ciliata;040822-07;10;25;03/02/2023;2;0;0;4;6;9;1;1;0;0;0;0
Phyteuma hemisphaericum;040822-09;10;25;03/02/2023;1;0;0;0;0;0;0;0;0;0;0;2
Phyteuma hemisphaericum;040822-09;10;25;03/02/2023;2;0;0;0;0;0;1;0;0;0;0;3
Plantago holosteum;090822-02;10;25;03/02/2023;1;0;25;0;0;0;0;0;0;0;0;0
Plantago holosteum;090822-02;10;25;03/02/2023;2;0;23;0;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;10;25;03/02/2023;1;0;0;0;3;3;0;0;0;0;0;4
Carex sempervirens;190822-08;10;25;03/02/2023;2;0;0;0;2;2;3;1;1;0;0;4
Armeria cantabrica;190822-09;10;25;03/02/2023;1;0;2;15;2;0;1;0;0;0;0;0
Gypsophila repens;190822-10;10;25;03/02/2023;1;0;6;18;0;0;0;0;0;0;0;0
Gypsophila repens;190822-10;10;25;03/02/2023;2;0;12;13;0;0;0;0;0;0;0;0
Jasione cavanillesii;230822-02;10;25;03/02/2023;1;0;17;3;1;1;0;0;0;0;0;1
Jasione cavanillesii;230822-02;10;25;03/02/2023;2;0;16;7;0;0;0;0;0;0;0;0
Festuca glacialis;230822-04;10;25;03/02/2023;1;0;1;18;1;0;0;0;0;0;0;2
Festuca glacialis;230822-04;10;25;03/02/2023;2;0;0;14;3;3;0;0;0;0;0;2
Androsace villosa;310822-01;10;25;03/02/2023;1;0;2;16;4;0;1;0;0;0;0;2
Androsace villosa;310822-01;10;25;03/02/2023;2;0;4;17;1;0;0;0;0;0;0;0
Dianthus langeanus;040822-01;15;25;08/02/2023;1;0;24;0;0;0;0;0;0;0;0;0
Dianthus langeanus;040822-01;15;25;08/02/2023;2;0;24;0;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;15;25;08/02/2023;1;0;10;15;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;15;25;08/02/2023;2;0;7;17;0;0;0;0;0;0;0;0
Luzula caespitosa;040822-04;15;25;08/02/2023;1;0;0;0;2;12;8;1;1;0;0;0
Luzula caespitosa;040822-04;15;25;08/02/2023;2;0;0;0;3;12;3;3;1;0;0;1
Silene ciliata;040822-07;15;25;08/02/2023;1;0;0;1;2;2;3;3;2;0;0;2
Silene ciliata;040822-07;15;25;08/02/2023;2;0;0;1;2;6;2;1;0;1;0;2
Phyteuma hemisphaericum;040822-09;15;25;08/02/2023;1;0;0;0;0;0;0;0;0;0;0;0
Phyteuma hemisphaericum;040822-09;15;25;08/02/2023;2;0;0;0;0;0;0;0;0;0;0;0
Plantago holosteum;090822-02;15;25;08/02/2023;1;0;24;0;0;0;0;0;0;0;0;0
Plantago holosteum;090822-02;15;25;08/02/2023;2;0;25;0;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;15;25;08/02/2023;1;0;0;0;0;0;0;1;0;0;0;3
Carex sempervirens;190822-08;15;25;08/02/2023;2;0;0;0;0;3;2;1;0;0;0;2
Armeria cantabrica;190822-09;15;25;08/02/2023;1;0;1;10;4;0;2;1;0;0;0;2
Gypsophila repens;190822-10;15;25;08/02/2023;1;0;2;18;2;0;0;0;0;0;0;1
Gypsophila repens;190822-10;15;25;08/02/2023;2;0;0;16;1;0;0;0;0;0;0;3
Jasione cavanillesii;230822-02;15;25;08/02/2023;1;0;14;6;1;0;0;0;0;0;0;2
Jasione cavanillesii;230822-02;15;25;08/02/2023;2;0;13;5;0;0;0;0;0;0;0;4
Festuca glacialis;230822-04;15;25;08/02/2023;1;0;0;4;2;0;0;1;0;0;0;3
Festuca glacialis;230822-04;15;25;08/02/2023;2;0;0;7;3;1;0;0;0;0;0;3
Androsace villosa;310822-01;15;25;08/02/2023;1;0;0;18;1;0;0;0;0;0;0;2
Androsace villosa;310822-01;15;25;08/02/2023;2;0;0;15;6;1;0;0;0;0;0;1
Dianthus langeanus;040822-01;30;25;23/02/2023;1;0;15;0;0;0;0;0;0;0;0;0
Dianthus langeanus;040822-01;30;25;23/02/2023;2;0;14;1;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;30;25;23/02/2023;1;0;0;16;1;1;0;0;0;0;0;2
Armeria duriaei;040822-02;30;25;23/02/2023;2;0;0;19;1;1;0;0;0;0;0;0
Luzula caespitosa;040822-04;30;24;23/02/2023;1;0;0;0;0;3;9;5;0;0;0;0
Luzula caespitosa;040822-04;30;25;23/02/2023;2;0;0;0;0;5;6;4;5;1;0;0
Silene ciliata;040822-07;30;25;23/02/2023;1;0;0;0;0;1;1;0;0;0;0;3
Silene ciliata;040822-07;30;25;23/02/2023;2;0;0;1;2;0;0;0;0;0;0;2
Phyteuma hemisphaericum;040822-09;30;25;23/02/2023;1;0;0;0;0;0;0;0;0;0;0;3
Phyteuma hemisphaericum;040822-09;30;25;23/02/2023;2;0;0;0;0;0;0;0;0;0;0;2
Plantago holosteum;090822-02;30;25;23/02/2023;1;0;9;1;0;0;0;0;0;0;0;0
Plantago holosteum;090822-02;30;25;23/02/2023;2;0;6;1;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;30;25;23/02/2023;1;0;0;0;0;0;0;0;0;0;0;0
Carex sempervirens;190822-08;30;25;23/02/2023;2;0;0;0;0;0;0;0;0;0;0;0
Armeria cantabrica;190822-09;30;25;23/02/2023;1;0;0;0;1;1;1;0;1;0;0;3
Gypsophila repens;190822-10;30;25;23/02/2023;1;0;0;2;2;2;0;0;0;0;0;1
Gypsophila repens;190822-10;30;25;23/02/2023;2;0;0;4;4;0;1;0;0;0;0;1
Jasione cavanillesii;230822-02;30;25;23/02/2023;1;0;0;3;0;0;0;0;0;0;0;1
Jasione cavanillesii;230822-02;30;25;23/02/2023;2;0;0;4;1;0;0;0;0;0;0;0
Festuca glacialis;230822-04;30;25;23/02/2023;1;0;0;0;0;0;0;0;0;0;0;0
Festuca glacialis;230822-04;30;25;23/02/2023;2;0;0;0;0;0;0;0;0;0;0;0
Androsace villosa;310822-01;30;25;23/02/2023;1;0;0;0;0;2;0;0;0;0;0;0
Androsace villosa;310822-01;30;25;23/02/2023;2;0;0;0;1;1;0;0;0;0;0;2
Dianthus langeanus;040822-01;50;25;15/03/2023;1;0;0;1;0;0;0;0;0;0;0;0
Armeria duriaei;040822-02;50;25;15/03/2023;1;0;0;0;2;4;1;0;0;0;0;2
Luzula caespitosa;040822-04;50;25;15/03/2023;1;0;0;0;0;0;1;6;1;2;0;0
Silene ciliata;040822-07;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;0
Phyteuma hemisphaericum;040822-09;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;2
Plantago holosteum;090822-02;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;1
Carex sempervirens;190822-08;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;0
Armeria cantabrica;190822-09;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;2
Gypsophila repens;190822-10;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;0
Jasione cavanillesii;230822-02;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;1
Festuca glacialis;230822-04;50;25;15/03/2023;1;0;0;0;0;0;0;0;0;0;0;2
Androsace villosa;310822-01;50;25;15/03/2023;1;0;0;0;0;2;1;0;0;0;0;2
